from_address,to_address,ether_value,time_step,price,price_time
0x2308e7c495b82324c0540107a9169d15ff02b8a8,0x6e4fe4e202e3457e3ef0a8232439f308674b0368,5.32,30227,146.76,2019-02-22 14:00:00
0x73957709695e73fd175582105c44743cf0fb6f2f,0x015e60d078d528d0b09beba15a814aa9ef33b462,9.88,30214,142.96,2019-02-21 20:00:00
0x5412221a93cbf2a2badb06a9360b5a34060bdd27,0xf056f435ba0cc4fcd2f1b17e3766549ffc404b94,1.35,30214,142.96,2019-02-21 20:00:00
0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x4f835eecc6f5e7e9cc3b592684114ba21754fceb,3.55,30212,142.65,2019-02-21 18:00:00
0xd39c072573581b8224755bc8d7cf0bfcecadf823,0xe0875b7ab17026a6108dc727abf38a02d31eb497,2.53,30217,144.17,2019-02-22 00:00:00
0x25403de55c30bc3c7a9c96de631219898cb494bc,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,43.1,30226,146.74,2019-02-22 13:00:00
0x4ac71e72240e48a39cc083ff8f378e7502ee0f77,0xac5cc06f9d99584afd2896c2339cb929dbb17e66,14.21,30213,142.76,2019-02-21 19:00:00
0x564286362092d8e7936f0549571a803b203aaced,0xb647b3a43985708a7d74a4749f2a21f641ed4833,4,30223,145.89,2019-02-22 09:00:00
0xdba76e955e3660da446b348c972b44d911a1cf32,0xee25730de9a34f08130d9a9507dc56c25e796f23,2.71,30213,142.76,2019-02-21 19:00:00
0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x5311f8ad59a357976c6d0e0f1468b9f3a6a6a882,9.1,30230,146.91,2019-02-22 18:00:00
0x069db41fea2d0328a4e890c6f81adab2f3e74f3b,0x6aad678a23bb95a445a5269596281f73b110d646,6.5,30218,145.03,2019-02-22 02:00:00
0xb9a4873d8d2c22e56b8574e8605644d08e047549,0x49f4944ef17a7e0f3bbc734e089ff15129986138,30.28,30223,145.89,2019-02-22 09:00:00
0x777f415324d56e1d54fa832902d8797db7a4c57c,0xb8a0b63782ec181a7987a29c9b64829ea6e3a1d6,11.02,30223,145.89,2019-02-22 09:00:00
0x54e8d2bb8f57dec4c1eb4b8c0bcf406c095e2196,0x58f7126b58aea9948eb684fe6ca9a24a3bacc824,42.7,30216,143.63,2019-02-21 23:00:00
0x2b5634c42055806a59e9107ed44d43c426e58258,0xa51a5adb001f25ca5de72f2fc1c66f3f0f7d121e,1.18,30220,144.82,2019-02-22 05:00:00
