time_step,f0_,f1_
29119,2019-01-01T00:00:01Z,2019-01-01T00:14:40Z
29120,2019-01-01T00:14:43Z,2019-01-01T01:14:28Z
29121,2019-01-01T01:15:06Z,2019-01-01T02:07:03Z
29122,2019-01-01T02:07:07Z,2019-01-01T03:04:26Z
29123,2019-01-01T03:04:33Z,2019-01-01T04:06:43Z
29124,2019-01-01T04:06:54Z,2019-01-01T05:05:30Z
29125,2019-01-01T05:05:48Z,2019-01-01T06:05:06Z
29126,2019-01-01T06:05:31Z,2019-01-01T07:06:10Z
29127,2019-01-01T07:06:39Z,2019-01-01T08:11:10Z
29128,2019-01-01T08:11:50Z,2019-01-01T09:17:15Z
29129,2019-01-01T09:17:47Z,2019-01-01T10:18:05Z
29130,2019-01-01T10:18:14Z,2019-01-01T11:21:02Z
29131,2019-01-01T11:21:03Z,2019-01-01T12:22:08Z
29132,2019-01-01T12:22:16Z,2019-01-01T13:20:23Z
29133,2019-01-01T13:20:32Z,2019-01-01T14:16:14Z
29134,2019-01-01T14:16:18Z,2019-01-01T15:09:53Z
29135,2019-01-01T15:09:55Z,2019-01-01T16:08:10Z
29136,2019-01-01T16:08:44Z,2019-01-01T17:04:47Z
29137,2019-01-01T17:05:01Z,2019-01-01T18:00:55Z
29138,2019-01-01T18:01:16Z,2019-01-01T19:00:48Z
29139,2019-01-01T19:00:49Z,2019-01-01T19:54:01Z
29140,2019-01-01T19:54:19Z,2019-01-01T20:50:04Z
29141,2019-01-01T20:50:25Z,2019-01-01T21:47:22Z
29142,2019-01-01T21:47:30Z,2019-01-01T22:45:46Z
29143,2019-01-01T22:45:54Z,2019-01-01T23:48:46Z
29144,2019-01-01T23:48:52Z,2019-01-02T00:45:10Z
29145,2019-01-02T00:45:17Z,2019-01-02T01:42:22Z
29146,2019-01-02T01:43:06Z,2019-01-02T02:42:44Z
29147,2019-01-02T02:42:52Z,2019-01-02T03:37:56Z
29148,2019-01-02T03:38:16Z,2019-01-02T04:38:59Z
29149,2019-01-02T04:39:01Z,2019-01-02T05:34:39Z
29150,2019-01-02T05:35:00Z,2019-01-02T06:30:45Z
29151,2019-01-02T06:30:49Z,2019-01-02T07:33:06Z
29152,2019-01-02T07:33:40Z,2019-01-02T08:30:15Z
29153,2019-01-02T08:30:22Z,2019-01-02T09:32:42Z
29154,2019-01-02T09:32:47Z,2019-01-02T10:30:10Z
29155,2019-01-02T10:30:28Z,2019-01-02T11:27:01Z
29156,2019-01-02T11:27:06Z,2019-01-02T12:24:40Z
29157,2019-01-02T12:25:04Z,2019-01-02T13:26:01Z
29158,2019-01-02T13:26:39Z,2019-01-02T14:27:02Z
29159,2019-01-02T14:27:19Z,2019-01-02T15:25:39Z
29160,2019-01-02T15:25:40Z,2019-01-02T16:25:24Z
29161,2019-01-02T16:25:40Z,2019-01-02T17:21:27Z
29162,2019-01-02T17:21:36Z,2019-01-02T18:14:54Z
29163,2019-01-02T18:15:41Z,2019-01-02T19:09:43Z
29164,2019-01-02T19:10:05Z,2019-01-02T20:10:19Z
29165,2019-01-02T20:10:21Z,2019-01-02T21:06:26Z
29166,2019-01-02T21:06:44Z,2019-01-02T21:59:23Z
29167,2019-01-02T21:59:33Z,2019-01-02T23:06:37Z
29168,2019-01-02T23:07:08Z,2019-01-03T00:03:58Z
29169,2019-01-03T00:04:27Z,2019-01-03T01:06:43Z
29170,2019-01-03T01:06:59Z,2019-01-03T02:09:13Z
29171,2019-01-03T02:09:36Z,2019-01-03T03:09:34Z
29172,2019-01-03T03:10:50Z,2019-01-03T04:11:23Z
29173,2019-01-03T04:11:32Z,2019-01-03T05:11:11Z
29174,2019-01-03T05:11:36Z,2019-01-03T06:15:10Z
29175,2019-01-03T06:15:12Z,2019-01-03T07:18:32Z
29176,2019-01-03T07:18:43Z,2019-01-03T08:24:44Z
29177,2019-01-03T08:25:05Z,2019-01-03T09:27:32Z
29178,2019-01-03T09:28:08Z,2019-01-03T10:32:31Z
29179,2019-01-03T10:32:34Z,2019-01-03T11:30:04Z
29180,2019-01-03T11:30:34Z,2019-01-03T12:25:25Z
29181,2019-01-03T12:25:39Z,2019-01-03T13:25:33Z
29182,2019-01-03T13:25:35Z,2019-01-03T14:23:26Z
29183,2019-01-03T14:23:30Z,2019-01-03T15:29:21Z
29184,2019-01-03T15:29:25Z,2019-01-03T16:30:20Z
29185,2019-01-03T16:30:32Z,2019-01-03T17:31:25Z
29186,2019-01-03T17:31:31Z,2019-01-03T18:33:01Z
29187,2019-01-03T18:33:22Z,2019-01-03T19:33:11Z
29188,2019-01-03T19:33:20Z,2019-01-03T20:39:18Z
29189,2019-01-03T20:39:24Z,2019-01-03T21:40:14Z
29190,2019-01-03T21:40:24Z,2019-01-03T22:47:32Z
29191,2019-01-03T22:48:11Z,2019-01-03T23:47:52Z
29192,2019-01-03T23:48:22Z,2019-01-04T00:48:01Z
29193,2019-01-04T00:48:04Z,2019-01-04T01:44:21Z
29194,2019-01-04T01:44:34Z,2019-01-04T02:52:00Z
29195,2019-01-04T02:52:18Z,2019-01-04T03:56:28Z
29196,2019-01-04T03:57:05Z,2019-01-04T04:57:20Z
29197,2019-01-04T04:57:32Z,2019-01-04T05:59:15Z
29198,2019-01-04T05:59:18Z,2019-01-04T07:04:16Z
29199,2019-01-04T07:04:24Z,2019-01-04T08:06:25Z
29200,2019-01-04T08:06:36Z,2019-01-04T09:07:54Z
29201,2019-01-04T09:08:26Z,2019-01-04T10:10:15Z
29202,2019-01-04T10:10:19Z,2019-01-04T11:12:09Z
29203,2019-01-04T11:12:16Z,2019-01-04T12:16:13Z
29204,2019-01-04T12:16:19Z,2019-01-04T13:24:12Z
